family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-00885532-v	promise	9	144	644	8	promise	2	9	0.22	0	2	0	0	0	0
oewn-01017253-v	testify	14	143	891	13	show	0	14	0.0	0	0	0	0	0	0
oewn-02551772-v	honor	11	142	517	9	drink	6	11	0.55	6	0	0	0	0	0
oewn-00220887-v	strengthen	6	142	1310	3	back	1	6	0.17	1	0	0	0	0	0
oewn-00818972-v	admit	16	141	527	11	confess	4	16	0.25	0	4	0	0	0	0
oewn-01137207-v	blast	11	141	700	7	fire	0	11	0.0	0	0	0	0	0	0
oewn-00949109-v	specify	10	141	1605	7	set	0	10	0.0	0	0	0	0	0	0
oewn-01515257-v	flip	8	141	266	7	sky	0	8	0.0	0	0	0	0	0	0
oewn-00832422-v	lecture	4	141	752	4	talk	0	4	0.0	0	0	0	0	0	0
oewn-00608509-v	study	15	140	592	9	learn	0	15	0.0	0	0	0	0	0	0
oewn-01113439-v	gain	11	140	752	8	win	7	11	0.64	7	0	0	0	0	0
oewn-01166589-v	exploit	10	140	313	6	mine	3	10	0.3	3	0	0	0	0	0
oewn-02270039-v	account	9	140	607	8	account	0	9	0.0	0	0	0	0	0	0
oewn-00774234-v	argue	7	140	459	6	reason	0	7	0.0	0	0	0	0	0	0
oewn-01658171-v	construct	23	139	3488	12	make	1	23	0.04	0	1	0	0	0	0
oewn-00338881-v	break up	21	139	782	14	grind	0	21	0.0	0	0	0	0	0	0
oewn-01891569-v	glide	16	139	382	10	slip	0	16	0.0	0	0	0	0	0	0
oewn-02437377-v	organize	15	139	1241	6	put	0	15	0.0	0	0	0	0	0	0
oewn-01275580-v	stamp	7	139	321	4	frank	0	7	0.0	0	0	0	0	0	0
oewn-02641628-v	necessitate	4	139	922	4	mean	3	4	0.75	3	0	0	0	0	0
oewn-02537291-v	test	10	138	1071	9	try	6	10	0.6	6	0	0	0	0	0
oewn-00850387-v	mind	5	138	829	1	mind	1	5	0.2	0	1	0	0	0	0
oewn-00592914-v	perceive	4	138	438	4	sense	0	4	0.0	0	0	0	0	0	0
oewn-01983476-v	embark	4	138	683	2	ship	0	4	0.0	0	0	0	0	0	0
oewn-02398228-v	transfer	4	138	313	3	second	0	4	0.0	0	0	0	0	0	0
oewn-02500687-v	confine	22	137	1040	18	keep	2	22	0.09	0	2	0	0	0	0
oewn-02722040-v	attach to	11	137	404	7	attend	0	11	0.0	0	0	0	0	0	0
oewn-01130221-v	defend	10	137	655	10	stop	1	10	0.1	0	1	0	0	0	0
oewn-02388582-v	leave	8	137	1427	6	leave	0	8	0.0	0	0	0	0	0	0
oewn-00850760-v	mock	23	136	329	17	rag	3	23	0.13	0	3	0	0	0	0
oewn-01331921-v	sew	21	136	461	13	fell	0	21	0.0	0	0	0	0	0	0
oewn-00209244-v	decay	20	136	1012	16	break	7	20	0.35	0	7	0	0	0	0
oewn-00081834-v	help	7	136	633	6	help	2	7	0.29	2	0	0	0	0	0
oewn-00808840-v	disapprove	6	136	291	6	object	2	6	0.33	0	2	0	0	0	0
oewn-02567247-v	practice	4	136	1227	4	use	3	4	0.75	3	0	0	0	0	0
oewn-02262178-v	exchange	21	135	709	17	change	4	21	0.19	0	4	0	0	0	0
oewn-01641910-v	plan	13	135	405	11	plan	0	13	0.0	0	0	0	0	0	0
oewn-02647547-v	wait	5	135	540	4	wait	4	5	0.8	1	3	1	0	0	0
oewn-02693758-v	cover	15	134	1021	14	continue	0	15	0.0	0	0	0	0	0	0
